H57,H47,H35,Mean57,SD57,Max57,Min57,Mean47,SD47,Max47,Min47,Mean35,SD35,Max35,Min35,MeanWD,SDWD,MaxWD,MinWD,MeanTemp,SDTemp,MaxTemp,MinTemp,Date,Time
57,47,35,7.39,1.6,12.2,4.17,7.96,1.6,12.59,4.17,8.84,1.6,13.34,5.71,228,9,211,0,18.5,0,18.7,18.4,11/16/2010,16:50:00
57,47,35,7.37,1.53,11.45,4.56,7.92,1.53,12.2,4.17,8.59,1.4,11.82,4.56,229,9,239,0,18.5,0,18.7,18.4,11/16/2010,17:00:00
57,47,35,6.79,1.6,10.29,2.65,7.51,1.53,10.67,4.17,8.43,1.6,12.96,4.56,224,9,226,0,18.1,0.2,18.4,17.9,11/16/2010,17:10:00
57,47,35,6.83,1.53,10.67,3.8,7.46,1.53,11.07,4.17,8.05,1.13,10.67,5.71,218,9,215,0,17.8,0,17.9,17.6,11/16/2010,17:20:00
57,47,35,9.38,1.23,12.2,5.71,9.52,0.87,11.82,6.47,9.06,0.77,11.07,6.85,211,6,211,0,17.2,0.1,17.6,16.7,11/16/2010,17:30:00
57,47,35,9.87,1.18,12.59,6.47,9.78,0.91,12.2,7.24,9.17,0.91,11.82,6.85,210,5,218,0,16.7,0,17,16.5,11/16/2010,17:40:00
57,47,35,9.88,0.99,12.2,6.09,9.89,0.83,11.82,6.85,9.28,0.8,11.45,7.24,212,5,211,0,16.3,0,16.5,16.2,11/16/2010,17:50:00
57,47,35,10.72,0.83,13.34,7.99,10.39,0.67,12.2,8.77,9.48,0.73,11.07,7.24,211,4,207,0,16,0,16.2,15.6,11/16/2010,18:00:00
57,47,35,11.6,0.5,12.96,9.92,10.9,0.56,12.2,8.37,9.78,0.67,11.82,7.61,208,5,207,0,15.8,0,15.9,15.3,11/16/2010,18:10:00
57,47,35,12.15,0.42,12.96,11.07,11.23,0.54,12.59,9.54,10.05,0.64,11.45,8.37,208,5,207,0,15.6,0,15.6,15.3,11/16/2010,18:20:00
57,47,35,11.92,0.44,12.96,10.29,11.11,0.5,12.2,9.15,9.88,0.62,11.45,8.37,209,4,215,0,15.3,0,15.3,15.3,11/16/2010,18:30:00
57,47,35,12.06,0.44,12.96,10.67,11.17,0.5,12.59,9.54,9.91,0.59,11.45,7.99,207,5,202,0,15.2,0,15.3,15.3,11/16/2010,18:40:00
57,47,35,12.12,0.54,13.34,10.29,11.32,0.59,12.96,9.54,10.09,0.56,11.45,8.37,207,5,194,0,15.2,0,15.3,15.1,11/16/2010,18:50:00
57,47,35,12.91,0.59,14.52,10.29,12.03,0.67,13.73,9.54,10.65,0.67,12.2,8.37,205,5,205,0,15.1,0,15.3,15.1,11/16/2010,19:00:00
57,47,35,13.11,0.42,14.14,11.45,12.24,0.52,13.34,9.92,10.95,0.62,12.2,8.77,205,5,203,0,15.1,0,15.3,15.1,11/16/2010,19:10:00
57,47,35,13.36,0.5,14.52,11.45,12.29,0.56,13.73,10.29,10.8,0.67,12.2,8.37,202,5,199,0,15.1,0,15.3,15.1,11/16/2010,19:20:00
57,47,35,13.55,0.64,15.27,11.45,12.49,0.7,14.14,9.54,10.93,0.87,12.96,8.77,201,6,196,0,15.1,0,15.3,15.1,11/16/2010,19:30:00
57,47,35,13.91,0.67,15.27,11.07,12.72,0.87,14.14,9.54,11.01,0.91,12.96,8.77,201,6,195,0,15.1,0,15.3,15.1,11/16/2010,19:40:00
57,47,35,13.48,0.73,14.87,11.07,12.27,0.99,14.14,9.92,10.55,1.13,12.96,7.61,201,7,197,0,14.9,0,15.3,14.8,11/16/2010,19:50:00
57,47,35,13.24,0.73,15.27,11.45,12.29,0.95,14.87,10.29,10.83,0.95,13.73,8.37,202,7,202,0,15.1,0,15.3,15.1,11/16/2010,20:00:00
57,47,35,12.94,0.73,14.87,10.67,12.09,0.83,14.14,9.54,11.02,0.83,13.34,8.37,205,6,214,0,15.1,0,15.3,15.1,11/16/2010,20:10:00
57,47,35,13.15,0.67,14.52,11.07,12.27,0.77,14.52,9.92,10.92,0.8,12.96,9.15,204,6,209,0,14.8,0.1,15.3,14.8,11/16/2010,20:20:00
57,47,35,12.69,0.7,14.52,10.67,11.87,0.73,13.73,9.54,10.46,0.91,12.59,7.61,208,6,204,0,14.7,0,15.1,14.5,11/16/2010,20:30:00
57,47,35,12.65,0.67,14.14,10.67,11.76,0.8,13.34,8.37,10.52,0.8,12.59,8.37,207,5,209,0,14.3,0,14.8,14.2,11/16/2010,20:40:00
57,47,35,12,0.87,13.73,9.54,11.25,0.83,13.34,8.77,9.94,0.87,12.2,7.24,211,6,209,0,14,0,14.2,14,11/16/2010,20:50:00
57,47,35,10.71,1.18,12.59,7.61,10.48,0.8,12.2,7.99,9.52,0.67,11.07,7.61,211,6,207,0,13.8,0.1,14.2,13.7,11/16/2010,21:00:00
57,47,35,10.26,0.91,12.2,7.99,10.23,0.67,11.82,7.99,9.34,0.62,11.07,7.24,213,5,211,0,13.4,0,13.7,13.2,11/16/2010,21:10:00
57,47,35,10.51,0.95,12.59,8.37,10.71,0.64,12.2,9.15,10.01,0.77,12.2,7.99,214,5,205,0,13.3,0,13.7,13.2,11/16/2010,21:20:00
57,47,35,11.73,0.62,12.96,9.54,11.08,0.56,12.59,9.54,9.91,0.67,11.82,7.99,210,5,211,0,13.3,0,13.7,13.2,11/16/2010,21:30:00
57,47,35,11.77,0.77,13.73,8.37,11.35,0.64,12.96,9.54,10.18,0.73,11.82,7.99,211,5,202,0,13.4,0,13.7,13.2,11/16/2010,21:40:00
57,47,35,9.88,1.13,12.2,7.24,10.3,0.99,12.59,7.24,9.79,0.77,11.82,7.24,215,5,216,0,13.4,0,13.7,13.4,11/16/2010,21:50:00
57,47,35,10.63,0.95,12.96,7.61,10.8,0.67,12.59,9.15,10.05,0.73,12.2,7.61,215,5,214,0,13.2,0,13.4,13.2,11/16/2010,22:00:00
57,47,35,9.97,0.95,12.59,7.99,10.12,0.83,12.2,7.99,9.81,0.8,11.45,6.85,216,5,195,0,13.2,0,13.4,13.2,11/16/2010,22:10:00
57,47,35,10.46,0.95,12.96,7.99,10.46,0.8,12.59,7.99,9.84,0.8,11.82,7.24,214,5,220,0,13.2,0,13.4,13.2,11/16/2010,22:20:00
57,47,35,11.64,0.64,12.96,9.15,11.08,0.59,12.59,9.15,9.98,0.67,11.82,7.99,210,5,211,0,13.2,0,13.4,13.2,11/16/2010,22:30:00
57,47,35,11.4,0.77,12.96,7.24,10.57,0.77,12.2,7.99,9.38,0.8,11.45,7.24,211,5,202,0,13,0,13.2,12.9,11/16/2010,22:40:00
57,47,35,11.13,0.7,12.59,9.15,10.35,0.7,12.2,8.37,9.13,0.8,11.07,7.24,210,6,211,0,12.8,0,13.2,12.6,11/16/2010,22:50:00
57,47,35,11.35,0.73,13.34,9.15,10.91,0.67,12.59,9.15,9.76,0.73,11.45,7.61,212,5,208,0,12.8,0,12.9,12.6,11/16/2010,23:00:00
57,47,35,10.2,0.91,12.59,7.99,10.29,0.67,12.2,8.37,9.44,0.7,11.82,7.24,214,5,209,0,12.7,0,12.9,12.4,11/16/2010,23:10:00
57,47,35,10.31,1.04,12.59,7.61,10.16,0.62,11.82,8.37,9.27,0.54,10.67,7.99,212,5,204,0,12.4,0,12.4,12.1,11/16/2010,23:20:00
57,47,35,11.53,0.54,12.59,9.54,10.73,0.67,12.2,8.77,9.44,0.77,11.07,7.61,209,5,202,0,12.2,0,12.4,11.8,11/16/2010,23:30:00
57,47,35,11.95,0.56,13.34,10.29,11.04,0.7,12.96,8.77,9.66,0.8,11.82,7.24,207,6,214,0,12.2,0,12.4,12.1,11/16/2010,23:40:00
57,47,35,12.3,0.59,13.73,10.67,11.35,0.67,12.96,9.15,9.96,0.73,12.2,7.99,204,6,205,0,12.4,0,12.6,12.1,11/16/2010,23:50:00
57,47,35,11.63,0.7,13.34,9.92,10.74,0.77,12.59,7.61,9.39,0.91,11.82,6.85,207,6,206,0,12.4,0,12.6,12.4,11/17/2010,0:00:00
57,47,35,11.5,0.67,13.73,8.37,10.62,0.67,12.2,8.37,9.54,0.7,11.45,7.24,208,6,211,0,12.2,0,12.4,11.8,11/17/2010,0:10:00
57,47,35,11.05,0.91,12.96,8.37,10.34,0.87,12.2,7.61,9.21,0.95,12.2,6.85,211,6,213,0,12.1,0,12.4,11.8,11/17/2010,0:20:00
57,47,35,11.18,0.64,12.59,9.15,10.44,0.7,12.2,8.37,9.32,0.7,11.07,7.61,209,6,217,0,12,0,12.4,11.6,11/17/2010,0:30:00
57,47,35,11.56,0.62,12.96,9.54,10.77,0.62,12.59,9.15,9.65,0.7,11.07,7.61,208,5,207,0,11.6,0,11.8,11.3,11/17/2010,0:40:00
57,47,35,11.42,0.59,12.96,9.92,10.61,0.67,12.2,8.77,9.48,0.73,11.07,7.24,207,5,213,0,11.6,0,11.8,11.3,11/17/2010,0:50:00
